Ticker,Company,RegisterCompany,PlantIds,Plants,MW,PlantNames,Source,Note
SPDL,Synergy Power Development Ltd.,Synergy Power Development P Ltd Kathmandu,41,1,10.0,Sipring Khola HP,auto,
SPHL,Sayapatri Hydropower Limited,Sayapatri Hydropower Pvt. Ltd. Gongabu-29 Kathmandu,66,1,2.5,Daram Khola-A,auto,
SPL,Shuvam Power Limited,,,0,,Lower Piluwa 0.99MW,not-in-register,no RMS filings
SSHL,Shiva Shree Hydropower Ltd,Shiva Sri Hydropower Pvt. Ltd,111,1,22.2,Upper Chaku A,auto,
TAMOR,Sanima Middle Tamor Hydropower Limited,"Sanima Middle Tamor Hydropower Ltd Dhumbarahi, Kathmandu",168,1,73.0,Middle Tamor	,auto,
TPC,Terhathum Power Company Limited,"Terhathum Power Company Limited GPO Box 24311, Bagbazar Kathmandu",94,1,7.5,Upper Khorunga HPP,researched,
TPKHL,Taksar Pikhuwa Khola Hydropower Limited ,Taksar Pikhuwa Khola Hydropower Ltd. Tinkune,110,1,8.0,Taksar Pikhuwa,auto,
TSHL,Three Star Hydropower Limited,Three Star Hydropower Company Limited,127,1,7.2,Sapsu Khola Small HP,auto,
TVCL,Trishuli Jal Vidhyut Company Limited,,,0,,Upper Trishuli 3B 37MW,not-in-register,under construction
UHEWA,Upper Hewakhola Hydropower Company Limited,Upper Hewakhola Hydropower Company Limited,133,1,8.5,Upper Hewa,auto,
ULHC,Upper Lohore Khola Hydropower Company Limited,"Upper Lohore Khola Hydropower Company Ltd. Buddhanagar, newbaneswor, Kathmandu",186,1,4.0,Upper Lohore SHP,researched,
UMHL,United Modi Hydropower,United Modi Hydropower Pvt. Ltd.,39,1,10.2,Lower Modi-1 HP,auto,
UMRH,United IDI Mardi RB Hydropower Limited,United Idimardi and R.B. Hydropower Pvt Ltd Sanepa,97,1,7.0,Upper Mardi,researched,
UNHPL,Union Hydropower Limited,"Union Hydropower Limited Dhobighat-3, Lalitpur",75,1,3.0,Midim Khola(Karapu) HPP,auto,
UPCL,Universal Power Company Ltd,Universal Power Company Limited,126,1,11.0,Lower Khare,auto,
UPPER,Upper Tamakoshi Hydropower Ltd,Upper Tamakoshi Hydropower Limited Gyaneshwor,115,1,456.0,Upper Tamakoshi HPP,auto,
USHEC,Upper Solu Hydro Electric Company Limited,Upper Solu Hydroelectric Company Ltd,105,1,23.5,Solu,researched,
USHL,Upper Syange Hydropower Limited,Upper Syange Hydropower Ltd.,124,1,2.4,Upper Syange Khola Small,auto,
VLUCL,Vision Lumbini Urja Company Limited,"Vision Lumbini Urja Company Limited. Butwal 8, Rupandehi",176,1,25.0,Seti Nadi hpp,auto,
YMHL,Yambaling Hydropower Limited,"Yambaling Hydropower Ltd. Lalitpur-10, Bagmati",169,1,7.3,Yambaling Khola,auto,
