RowKey,Ticker,Year,Quarter,DataSource,PaidUpCapital,Premium,Reserves,LtLiabilities,TotalFunds,FixedAssets,Depreciation,NetFixedAssets,NonCoreAssets,Investments,WorkInProgress,Cash,Receivables,AdvancesPrepaymentsLoansDeposits,Inventory,TotalCurrentAssets,StLiabilities,DeferredLiabilities,TotalStLiabilities,ApplicationOfFunds,EnergySales,CostOfProduction,GrossProfit,DividendIncome,ForexGainLoss,OtherIncome,AdminExpenses,OperatingProfit,InterestIncomeExpense,Provisions,ProfitBeforeTax,Taxes,Bonus,ProfitAfterTax,EpsAnnualized,BookValuePerShare,Statement,OrdinaryShares,Statement_IncomeStatement,Depreciation_IncomeStatement,EPS,CurrentRatio,NetWorthPerShare,PERatio,Mps,Multiplier,Dividend,BonusD,Cash_IncomeStatement,AdditionalInfo,TotalRevenue,GrowthOverPriorPeriod,GrossProfitMargin,NetIncome,NetIncomeMargin,ReturnOnAsset,ReturnOnEquity,ReportedPeAnnualized,DividendPerShare,QuarterEndPrice
BARUN|2023/24|1|Published,BARUN,2023/24,1,Published,535815.0,43743.065,-4892.016,175417.182,750083.231,0.0,0.0,412258.731,0.0,155734.0,0.0,83741.327,0.0,116712.15,0.0,200453.477,18362.976,0.0,18362.976,750083.232,0.0,7083.046,-7083.046,0.0,0.0,488.058,4496.68,-11091.668,-5080.365,0.0,-20972.033,0.0,0.0,-20972.033,-15.656174612506183,107.25083265679389,,,,4800.0,,,,,,,,,,,,,,,,,,,,213.0
BARUN|2022/23|4|Published,BARUN,2022/23,4,Published,535815.0,0.0,64631.435,156838.474,757284.909,0.0,0.0,416753.632,0.0,158109.955,0.0,59086.998,6547.458,158107.665,0.0,223742.121,41320.799,0.0,41320.799,757284.909,79708.949,16425.154,63283.795,0.0,0.0,18029.842,11959.795,69353.842,-31794.179,113.134,15708.165,4191.474,316.426,11200.265,2.0903231525806483,112.06226682716985,,,,21738.364,,,,,,,,,,,,,,,,,,,,249.0
BARUN|2022/23|4|Audited,BARUN,2022/23,4,Audited,535815.0,0.0,62199.039,152330.573,750344.612,658595.003,241841.371,416753.632,0.0,158109.955,0.0,59086.997,6547.458,155607.665,0.0,221242.12,45761.095,0.0,45761.095,750344.612,79708.95,16425.154,63283.796,0.0,0.0,15529.842,11959.795,66853.843,-31794.177,88.564,13232.738,4198.442,266.426,8767.87,1.636361430717692,111.6083049186753,BalanceSheet,5358.15,Income Statement,21738.364,1.636361431,4.834720847,111.6083049,152.1668718,249.0,1.0,,,,,79708.95,-0.15192997,0.7939358880025393,8767.87,0.10999856352392048,0.014659557987559378,0.020002801825415507,,,249.0
BARUN|2022/23|3|Published,BARUN,2022/23,3,Published,535815.0,0.0,68703.287,175531.8585,780050.1455,0.0,0.0,425265.675,0.0,51946.0,0.0,247702.457,8209.585,73293.92,0.0,329205.962,26367.464,0.0,26367.464,780050.173,70663.469,11354.573,59308.896,0.0,0.0,7396.941,20205.397,46500.44,-14199.7498,143.612,17519.7412,2948.853,353.266,14217.6222,3.5379430587049634,112.8222029991695,,,,14637.337,,,,,,,,,,,,,,,,,,,,260.9
BARUN|2022/23|2|Published,BARUN,2022/23,2,Published,535815.0,0.0,71026.828,179236.151,786077.979,0.0,0.0,426631.767,0.0,51946.0,0.0,252758.63,11788.655,71992.112,0.0,336539.397,29039.186,0.0,29039.186,786077.978,59972.292,6218.13,53754.162,0.0,0.0,2690.318,18348.302,38096.178,-9014.673,0.0,18754.098,1837.902,375.082,16541.114,6.174188479232572,113.25584912703079,,,,10327.407,,,,,,,,,,,,,,,,,,,,274.0
BARUN|2022/23|1|Published,BARUN,2022/23,1,Published,267907.5,0.0,17579.34,194076.524,479563.364,0.0,0.0,434094.715,0.0,9446.0,0.0,204925.844,29328.571,11269.2,0.0,245523.615,209500.965,0.0,209500.965,479563.365,38357.443,3551.896,34805.547,0.0,0.0,1057.5,14529.296,21333.751,-5096.303,0.0,11329.216,2220.526,226.584,8882.106,13.261451807060274,106.56171999664065,,,,4908.232,,,,,,,,,,,,,,,,,,,,212.0
BARUN|2021/22|4|Published,BARUN,2021/22,4,Published,267907.5,0.0,8224.112,199311.833,475443.445,0.0,0.0,439567.211,0.0,9446.0,0.0,10767.329,21838.72,11109.2,0.0,43715.249,17285.014,0.0,17285.014,475443.446,93988.642,17960.499,76028.143,0.0,0.0,4514.16,39987.122,40555.181,-17859.102,0.0,3627.415,355.48667,72.548,3199.38033,1.1942108115674255,103.06975803215664,,,,19068.664,,,,,,,,,,,,,,,,,,,,440.0
BARUN|2021/22|4|Audited,BARUN,2021/22,4,Audited,267907.5,0.0,10742.648,167203.653,445853.801,657062.182,220103.007,436959.175,0.0,1946.0,0.0,10790.581,19828.776,27880.679,0.0,58500.036,51551.41,0.0,51551.41,445853.801,93988.642,20311.363,73677.279,0.0,0.0,-16388.927,8865.845,48422.507,-20300.639,25.897,6419.27,3726.519,128.903,2563.848,0.9569900058788948,104.00983473773597,BalanceSheet,2679.075,Income Statement,21676.701,0.956990006,1.134790222,104.0098347,459.7749165,440.0,1.0,,,,,93988.642,0.57280197,0.783895558359062,2563.848,0.027278274751538593,0.0054603815339176656,0.00929633756611297,,,440.0
BARUN|2021/22|3|Published,BARUN,2021/22,3,Published,267907.5,0.0,26425.091,206832.871,501165.462,0.0,0.0,444235.875,0.0,19446.0,0.0,3263.367,28762.226,22977.861,0.0,55003.454,17519.867,0.0,17519.867,501165.462,69909.203,14384.747,55524.456,0.0,0.0,4300.0,10483.109,49341.347,-11163.172,0.0,23778.175,2377.818,0.0,21400.357,10.65061983458221,109.86351296622902,,,,14400.0,,,,,,,,,,,,,,,,,,,,423.0
BARUN|2021/22|2|Published,BARUN,2021/22,2,Published,267907.5,0.0,25463.365,211112.335,504483.2,0.0,0.0,448632.377,0.0,946.0,0.0,18026.619,30373.642,22407.587,0.0,70807.848,15903.024,0.0,15903.024,504483.201,56889.981,12220.457,44669.524,0.0,0.0,0.0,5241.405,39428.119,-7118.527,0.0,22709.592,2270.959,0.0,20438.633,15.257977473568305,109.5045360805502,,,,9600.0,,,,,,,,,,,,,,,,,,,,515.4
