PlantId,PlantName,Cap_kW,District,Province,lat,lon,precision,source,matched_to
112,Mistry Khola,42000.0,Myagdi,Gandaki,28.536962,83.674422,plus,"Google Maps GMPF+QQM, Narchyang 33200",
113,Singati,25000.0,Dolakha,Bagmati,27.743687,86.159188,plus,"Google Maps P5V5+FM, Singati 45500",
114,Richet Khola SHP,5000.0,Gorkha,Gandaki,28.176312,84.916063,plus,Google Maps 7MW65WG8+GC,
115,Upper Tamakoshi HPP,456000.0,Dolakha,Bagmati,27.9233126,86.2125197,exact,OSM,Upper Tamakoshi Hydroelectric Project
116,Likhu-4,52400.0,Okhaldunga,Province 1,27.2889,86.2411,river,"on Likhu Khola, nearest Okhaldunga",Likhu Khola
119,Lower Jogmai Khola HPP,6200.0,Ilam,Province 1,26.890687,87.959437,plus,"Google Maps VXR5+7Q, Namsaling 57300",
120,Lower Modi Khola,20000.0,Parbat,Gandaki,28.236028,83.7121054,exact,OSM,Lower Modi HEP
121,Mai Beni HPP,9510.0,Ilam,Province 1,26.8894,87.9558,river,"on Mai Khola, nearest Ilam",Mai Khola
122,Lower Tadi Khola,4996.0,Nuwakot,Bagmati,27.922837,85.349734,plus,"Google Maps W8FX+4VQ, Thaprek 44900",
123,Kabeli B-1 Cascade,9940.0,Panchthar,Province 1,27.2838,87.8315,river,"on Kabeli, nearest Panchthar",Kabeli
124,Upper Syange Khola Small,2400.0,Lamjung,Gandaki,28.386212,84.396203,plus,"Google Maps 99PW+FFP, 33600",
125,Upper Chhandi Khola Small,4000.0,Lamjung,Gandaki,28.281944,84.488194,plus,cited: midpoint of author-supplied coordinate range,
126,Lower Khare,11000.0,Dolakha,Bagmati,27.758538,86.197172,plus,"Google Maps Q55W+CV7, Charikot - Lamabagar Rd, Sunkhani 45500",
127,Sapsu Khola Small HP,7151.0,Khotang,Province 1,27.112838,86.737766,plus,"Google Maps 4P7Q+44J, Rajapani 56200",
128,Likhu Khola A,51000.0,Solukhumbu,Province 1,27.5522546,86.3706708,exact,OSM,Likhu A
129,Suri Khola,7000.0,Dolakha,Bagmati,27.753737,86.219297,plus,"Google Maps Q639+FPV, Suri 45500",
130,Nyadi,30000.0,Lamjung,Gandaki,28.327313,84.422016,plus,"Google Maps 8CGC+WRC, Bahundanda 33600",
131,Upper Khimti II,7000.0,Ramechhap,Bagmati,27.6415532,86.3103359,exact,OSM,Upper Khimti-II Hydropower Project
132,Uppallo Khimti,12000.0,Ramechhap,Bagmati,27.4749,86.1127,river,"on Khimti Khola, nearest Ramechhap",Khimti Khola
133,Upper Hewa,8500.0,Sankhuwasabha,Province 1,27.337361,87.360417,plus,cited: midpoint of author-supplied coordinate range,
134,Dordi Khola,27000.0,Lamjung,Gandaki,28.170063,84.442484,plus,"Google Maps 5CCR+2XH, Unnamed Road, Chiti 33600",
135,Makarigad,10000.0,Darchula,Sudurpashchim,29.79125,80.85875,plus,cited: author-supplied decimal coordinates,
136,Upper Dordi A,25000.0,Lamjung,Gandaki,28.2516619,84.4739051,exact,OSM,Upper Dordi A
137,Lower Likhu,28100.0,Ramechhap,Bagmati,27.3333,86.2156,river,"on Likhu Khola, nearest Ramechhap",Likhu Khola
138,Chepe Khola,8630.0,Gorkha,Gandaki,28.1,84.5408,river,"on Chepe Khola, nearest Gorkha",Chepe Khola
139,Solu Khola (Dudhkoshi),86000.0,Solukhumbu,Province 1,27.5222,86.5758,river,"on Solu Khola, nearest Solukhumbu",Solu Khola
140,Upper Balephi A,36000.0,,Province 1,,,none,,
141,Mid Solu Khola ,9500.0,Solukhumbu,Province 1,27.4461,86.5677,river,"on Solu Khola, nearest Solukhumbu",Solu Khola
142,Dordi 1,12000.0,Lamjung,Gandaki,28.230812,84.450688,plus,"Google Maps 6FJ2+87, Chiti 33600",
143,Puwa 2,4960.0,Ilam,Province 1,26.9271,87.9035,river,"on Puwa Khola, nearest Ilam",Puwa Khola
144,Middle Modi,18000.0,Parbat,Gandaki,28.2214,83.7068,river,"on Modi Khola, nearest Parbat",Modi Khola
145,Kalanga,15330.0,Bajhanga,Sudurpashchim,29.5486985,80.8589458,exact,OSM,Kalanga Gad HEP
146,Upper Kalangad,38460.0,Bajhanga,Sudurpashchim,29.597538,80.884766,plus,"Google Maps HVXM+2W6, Banjh 10500",
147,Upper Machha Khola Small,4550.0,Gorkha,Gandaki,28.289861,84.770139,plus,cited: midpoint of author-supplied coordinate range,
148,Upper Piluwa Khola 2,4720.0,Sankhuwasabha,Province 1,27.296788,87.385828,plus,"Google Maps 79WP+P88, Chainpur 56900",
149,Super Madi,44000.0,Kaski,Gandaki,28.255,84.076,river,"on Madi River, nearest Kaski",Madi River
150,Rukum gad,5000.0,Rukum,Lumbini,28.623611,82.632639,plus,cited: midpoint of author-supplied coordinate range,
151,Super Dordi Kha,54000.0,Lamjung,Gandaki,28.271438,84.532891,plus,"Google Maps 7GCM+H5C, Tanje 33600",
152,Upper Solu Khola,19800.0,Solukhumbu,Province 1,27.4287,86.6185,river,"on Solu Khola, nearest Solukhumbu",Solu Khola
153,Maya Khola,14900.0,Sankhuwasabha,Province 1,27.2675,87.3246,river,"on Maya Khola, nearest Sankhuwasabha",Maya Khola
154,Ghar Khola,14000.0,Myagdi,Gandaki,28.479337,83.642922,plus,"Google Maps FJHV+P5M, Pokharebagar 33200",
155,Upper Chameliya,40000.0,Darchula,Sudurpashchim,29.742037,80.781828,plus,"Google Maps PQRJ+RP8, Tapoban 10100",
156,Down Piluwa,10300.0,Sankhuwasabha,Province 1,27.245188,87.280438,plus,"Google Maps 67WJ+35, Ankhibhui 56900",
157,Likhu 2,55000.0,Ramechhap,Bagmati,27.6735805,86.459181,exact,OSM,Likhu 2
158,Upper Sanjen,14800.0,Rashuwa,Bagmati,28.183587,85.303391,plus,"Google Maps 58M3+C9J, Chilime 45000",
159,Upper Sanigad,10700.0,Bajhanga,Sudurpashchim,29.6614159,80.8568725,exact,OSM,Upper Sanigad Hydroelectric Project
160,Super Chepe,9050.0,Gorkha,Gandaki,28.0669,84.4881,river,"on Chepe Khola, nearest Gorkha",Chepe Khola
161,Upper Suri,7000.0,Dolakha,Bagmati,27.738437,86.244062,plus,"Google Maps P6QV+9J, Chankhu 45500",
162,Likhu 1,77000.0,Ramechhap,Bagmati,27.6090043,86.4339334,exact,OSM,Likhu 1 HPP
163,Upper Midim Khola SHP,7500.0,Lamjung,Gandaki,28.1872,84.2858,river,"on Midim Khola, nearest Lamjung",Midim Khola
164,Nilgiri Khola-II cascade Project,71000.0,Myagdi,Gandaki,28.536962,83.674422,plus,"Google Maps GMPF+QQM, Narchyang 33200",
165,Upper Ingwa Khola,9700.0,Taplejung,Province 1,27.284167,87.8975,plus,cited: midpoint of author-supplied coordinate range,
166,Upper Phawa HPP,5800.0,Taplejung,Province 1,27.318462,87.765641,plus,"Google Maps 8Q98+97J, 4, 57500",
167,Upper Mailun Khola,14300.0,Rashuwa,Bagmati,28.0989,85.1833,plus,cited: author-supplied decimal coordinates,
168,Middle Tamor	,73000.0,Taplejung,Province 1,27.336,87.6496,river,"on Tamor Nadi, nearest Taplejung",Tamor Nadi
169,Yambaling Khola,7271.0,Sindhupalchok,Bagmati,27.951038,85.790641,plus,Google Maps XQ2R+C76,
