Symbol,Sector,Ticker,Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
SPC,Hydro Power,SPC,Samling Power Company Limited,2025/26 Q4,390.0,449.7752,-27.9,-0.0176,-0.0665,-0.1347,-0.2683,-0.2181,1950000000.0,500000.0,49399.418,235192.152,208896.334,19848.571,0.0,0.924653,0.105827,0.818826,0.577348,0.25763,0.888194,0.072193,0.816002,0.483731,0.084393,0.036652,0.156198,0.036595,0.010431,0.044454,0.01022,3.969714,16.917612,3.969714,3.969714,109.8799,98.243848,98.243848,23.052899,98.243848,3.54933,0.697364,0.653557,0.832143,3.45671,1.1172,1.0744,-0.0263,-0.0375,-0.1744,-0.2484,0.0284,-0.0055,-5.163636,0.667528,35.0542,-0.086229,-0.1189,-0.3048,-1.035051
SPDL,Hydro Power,SPDL,Synergy Power Development Ltd.,2025/26 Q4,345.0,392.3595,-9.9,0.0,-0.0688,-0.1154,-0.0992,-0.0563,4174025625.0,1330848.75,122256.25,230469.111,213627.759,80495.39,0.0,0.895986,0.111957,0.784029,0.57191,0.39969,0.926926,0.144981,0.782249,0.531169,0.349268,0.05591,0.075733,0.056447,0.046099,0.062444,0.04665,6.048425,8.192922,6.048425,6.048425,109.1863,57.039644,57.039644,42.109518,57.039644,3.159736,20.047375,4.422631,0.194758,1.209362,1.4137,1.1973,-0.021,-0.0298,-0.1435,-0.2043,0.0386,-0.0005,-77.2,0.494832,34.697,-0.0579,-0.0594,-0.2549,-0.55975
SPHL,Hydro Power,SPHL,Sayapatri Hydropower Limited,2025/26 Q4,514.0,546.4049,-11.0,-0.0058,-0.0113,-0.1518,-0.0534,-0.0065,1542000000.0,300000.0,-24466.41,50249.141,44156.174,3004.662,0.0,0.483591,0.565391,-0.081799,-1.388775,-2.246059,0.878745,0.158336,0.720809,0.334344,0.059795,0.010742,-0.119668,0.010643,0.00638,-0.071075,0.006254,1.001554,-11.157743,1.001554,1.001554,91.8445,513.202483,513.202483,-46.066666,513.202483,5.596414,0.910736,0.734387,0.511756,1.652521,0.883,0.5591,-0.0213,-0.0304,-0.1319,-0.1936,0.0384,-0.0017,-22.588235,0.542515,43.5578,-0.08329,-0.0154,-0.188,-1.317718
SPL,Hydro Power,SPL,Shuvam Power Limited,2025/26 Q4,655.0,691.0801,57.8,-0.0136,0.0234,-0.0629,-0.208,-0.2775,1310000000.0,200000.0,2451.041,20486.453,16532.232,10578.04,0.0,0.759586,0.098431,-0.090494,-0.311975,-0.345953,0.806984,0.083628,0.967595,0.711098,0.516343,0.052279,-0.032723,0.053038,0.04625,-0.028949,0.046477,5.28902,-3.310552,5.28902,5.28902,101.2255,123.841468,123.841468,-197.852201,123.841468,6.4707,7.946681,3.045066,0.154411,1.121018,0.9655,0.6576,-0.0224,-0.0322,-0.2014,-0.2954,0.0303,-0.0083,-3.650602,0.569428,51.84,0.00129,-0.133,-0.3384,0.866698
SSHL,Hydro Power,SSHL,Shiva Shree Hydropower Ltd,2025/26 Q4,191.0,210.9893,-2.0,-0.0119,-0.045,-0.0883,0.2508,0.0985,2819924000.0,2952800.0,-1391116.222,375129.343,363091.889,-119110.365,0.0,0.921103,0.320822,0.603135,0.01897,-0.921149,0.967911,0.259784,0.709279,0.369663,-0.317518,-0.075064,-0.126594,-0.106426,-0.026533,-0.044748,-0.027769,-4.033811,-6.803009,-4.033811,-4.033811,52.8882,-47.349767,-47.349767,-28.07581,-47.349767,3.611389,0.851359,0.851132,0.753616,2.851686,1.1878,0.9678,-0.0176,-0.0249,-0.1206,-0.1695,0.0428,0.0008,53.5,0.617555,38.7649,-0.033056,0.0194,-0.2169,-0.50377
TAMOR,Hydro Power,TAMOR,Sanima Middle Tamor Hydropower Limited,2025/26 Q4,493.1,452.2,-2.9,-0.0216,0.0933,0.09,0.1106,-0.0054,16432557500.0,3332497.0,960859.721,2025176.096,1772759.896,624291.366,0.0,0.894569,0.190432,0.728559,0.728559,0.523199,0.875361,0.259851,0.610063,0.610063,0.308265,0.151993,0.363517,0.159152,0.04713,0.11272,0.0468,18.733441,44.804243,18.733441,18.733441,128.833,26.321912,26.321912,11.005654,26.321912,3.827435,1.256615,1.089629,0.765929,3.054974,0.9519,1.0488,-0.0158,-0.0226,-0.1348,-0.1969,0.0293,-0.0001,-293.0,0.77157,64.0009,0.142213,0.0103,-0.0274,2.09377
TPC,Hydro Power,TPC,Terhathum Power Company Limited,2025/26 Q4,348.9,370.2727,2.9,0.0142,-0.0388,-0.0449,-0.0514,0.0648,2791200000.0,800000.0,29094.414,182612.26,124604.158,89339.144,0.0,0.675247,0.066239,0.609008,0.605709,0.505884,0.682343,0.038832,0.643511,0.639992,0.489229,0.109438,0.129314,0.128254,0.078723,0.09302,0.078186,11.167393,13.195586,11.167393,11.167393,103.6368,31.242744,31.242744,26.440661,31.242744,3.366565,2.473512,1.829983,0.309187,1.35329,0.9799,0.5466,-0.0206,-0.0295,-0.1803,-0.2616,0.0372,0.0004,93.0,0.356332,43.6407,0.018854,-0.033,-0.1867,-1.165909
TPKHL,Hydro Power,TPKHL,Taksar Pikhuwa Khola Hydropower Limited ,2025/26 Q4,502.0,535.8527,-2.0,-0.0059,-0.0873,0.0,0.0,0.0,6024000000.0,1200000.0,29327.7,250247.77,233612.87,35575.677,0.0,1.118813,0.147522,0.971291,0.66065,0.092611,0.933526,0.106946,0.82658,0.552912,0.142162,0.03492,0.020536,0.0,0.017973,0.01057,0.0,2.96464,1.743522,2.96464,2.96464,102.444,169.329174,169.329174,287.922896,169.329174,4.900239,8.596965,4.647475,0.42136,1.655084,-0.5973,0.0,-0.0516,-0.0754,-0.0216,-0.0284,0.1275,0.0087,14.655172,0.545894,44.5234,0.0,0.0,0.0,-4.031055
TSHL,Hydro Power,TSHL,Three Star Hydropower Limited,2025/26 Q4,342.0,521.5116,9.0,0.0249,-0.0732,-0.3607,-0.5268,-0.5356,1684350000.0,492500.0,-189746.629,135868.571,119131.661,-31523.664,0.0,1.705336,0.080532,0.608418,0.215305,0.063095,0.876815,0.066693,0.527057,0.165975,-0.232016,-0.104535,0.031668,-0.097639,-0.02678,0.008113,-0.026052,-6.400744,1.939071,-6.400744,-6.400744,61.4728,-53.431289,-53.431289,176.373131,-53.431289,5.563439,0.257428,0.257428,0.951388,3.858771,0.896,1.826,-0.0299,-0.0425,-0.2395,-0.3462,0.0727,-0.0173,-4.202312,0.282192,40.5277,-0.295172,-0.388,-0.62,-0.659995
TVCL,Hydro Power,TVCL,Trishuli Jal Vidhyut Company Limited,2025/26 Q4,293.1,508.2132,-17.9,-0.1251,-0.3816,-0.4309,-0.2513,-0.3283,5429677500.0,1789162.77,-427285.603,0.0,0.0,-131655.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.095355,-0.108996,-0.092057,-0.020782,-0.023755,-0.022574,-7.35849,-8.411157,-7.35849,-7.35849,76.1181,-39.831543,-39.831543,-34.846572,-39.831543,3.850594,4.678707,0.589169,1.059489,4.847233,1.1253,0.6993,-0.0243,-0.0345,-0.1981,-0.2875,0.0727,-0.0094,-7.734043,0.956218,11.6782,-0.343497,-0.0835,-0.5664,-14.262788
