S.N,Year Month,Metered Energy,Energy to R.E. (Local distribution),Internal Consumption,Total Energy Generation,Backfeed Energy From NEA,Backfeed Amount,Rate to NEA,R.E Rate (NRS),Invoice to NEA(NRS),Amount paid by NEA (NRs),Amount Deducted,Revenue From R.E (NRs) Local Distribution,Previous Due Royalty Chargeable Rs,Royalty Amount,col,PlantId,FiscalId,Plant,FiscalYear,Additional Energy,Transmission Loss,Seasional Rate,Billed Amount to NEA,Amount paid by NEA Rs,Late COD & Other Fine Rs,Short Supply,Remarks,Seasional Rate (USD),Exchange Rate,Invoice to NEA(USD),Amount paid by NEA (USD)
10,2080/12,3403235.00,,,3726973.00,,,,,,,,,53086042.83,1061720.86,,89,17,"Bagmati Nadi , 32000 kW",080/81,323738.00,,9.41,,53086042.83,,,excess energy 3833027 Kwh@4.70,,,,
11,2081/1,5310401.00,,,5794819.00,,,,,,,,,33859235.64,677184.71,,89,17,"Bagmati Nadi , 32000 kW",080/81,484418.00,,5.52,,33859235.64,,,excess energy 678201 kwh @2.76,,,,
12,2081/2,8358820.00,,,8358820.00,,,,,,,,,46140686.40,922813.73,,89,17,"Bagmati Nadi , 32000 kW",080/81,,,5.52,,46140686.40,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,14891503.3,,89,17,"Bagmati Nadi , 32000 kW",080/81,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,2200000.0,,89,17,"Bagmati Nadi , 32000 kW",080/81,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,17976382.42,,89,17,"Bagmati Nadi , 32000 kW",080/81,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,922634.67,,89,17,"Bagmati Nadi , 32000 kW",080/81,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2079/3,14598144.00,,,16057958.00,,,,,,,,,84129369.08,1682587.38,,89,16,"Bagmati Nadi , 32000 kW",079/80,1459814.00,,5.23,,84129369.08,,,excess energy 56034kwh@2.61,,,,
2,2079/4,14141952.00,,,15556147.00,,,,,,,,,81358648.81,1627172.98,,89,16,"Bagmati Nadi , 32000 kW",079/80,1414195.00,,5.23,,81358648.81,,,,,,,
3,2079/5,14141952.00,,,15556147.00,,,,,,,,,81358648.81,1627172.98,,89,16,"Bagmati Nadi , 32000 kW",079/80,1414195.00,,5.23,,81358648.81,,,,,,,
4,2079/6,14141952.00,,,15556147.00,,,,,,,,,81358648.81,1627172.98,,89,16,"Bagmati Nadi , 32000 kW",079/80,1414195.00,,5.23,,81358648.81,,,,,,,
5,2079/7,12746240.00,,,12746240.00,0.00,0.00,,,,,,,66662835.20,1333256.7,,89,16,"Bagmati Nadi , 32000 kW",079/80,0.00,,5.23,,66662835.20,,,,,,,
6,2079/8,8840800.00,,,8932820.00,,,,,,,,,46718648.60,934372.97,,89,16,"Bagmati Nadi , 32000 kW",079/80,92020.00,,5.23,,46718648.60,,,,,,,
7,2079/9,6519479.00,,,7103119.00,,,,,,,,,75071325.12,1501426.5,,89,16,"Bagmati Nadi , 32000 kW",079/80,583640.00,,9.16,,75071325.12,,,excess energy 2184881kwh@4.58,,,,
8,2079/10,4767570.00,,,5201876.00,,,,,,,,,59925205.48,1198504.11,,89,16,"Bagmati Nadi , 32000 kW",079/80,434306.00,,9.16,,59925205.48,,,excess energy 2680354kwh@4.58,,,,
9,2079/10,,,,0.00,,,,,,,,,201198.10,4023.96,,89,16,"Bagmati Nadi , 32000 kW",079/80,,,,,201198.10,,,"chhut bill of mansir, memo_magh",,,,
10,2079/11,3908112.00,,,4270647.00,,,,,,,,,51381403.26,1027628.07,,89,16,"Bagmati Nadi , 32000 kW",079/80,362535.00,,9.16,,51381403.26,,,excess energy 2677353kwh@4.58,,,,
11,2079/12,3403235.00,,,3726973.00,,,,,,,,,54495097.94,1089901.96,,89,16,"Bagmati Nadi , 32000 kW",079/80,323738.00,,9.16,,54495097.94,,,excess energy 4444547.00kwh@4.58,,,,
12,2080/1,5310401.00,,,5794819.00,,,,,,,,,38734544.71,774690.89,,89,16,"Bagmati Nadi , 32000 kW",079/80,484418.00,,5.38,,38734544.71,,,excess energy 2809821.00kwh@2.69,,,,
13,2080/2,9600390.00,,,9600390.00,,,,,,,,,51650098.20,1033001.96,,89,16,"Bagmati Nadi , 32000 kW",079/80,,,5.38,,51650098.20,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,15460913.44,,89,16,"Bagmati Nadi , 32000 kW",079/80,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,2200000.0,,89,16,"Bagmati Nadi , 32000 kW",079/80,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,15797302.6,,89,16,"Bagmati Nadi , 32000 kW",079/80,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,1807513.79,,89,16,"Bagmati Nadi , 32000 kW",079/80,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2078/3,13672790.00,,,13672790.00,0.00,0.00,,,,,,,69594501.10,1391890.02,,89,15,"Bagmati Nadi , 32000 kW",078/79,,,5.09,69594501.10,69594501.10,,,,,,,
2,2078/4,14598144.00,,,16057958.00,0.00,0.00,,,,,,,81735006.22,1634700.12,,89,15,"Bagmati Nadi , 32000 kW",078/79,1459814.00,,5.09,81735006.22,81735006.22,,,,,,,
3,2078/5,14141952.00,,,15556147.00,90.00,972.00,,,,,,,79180788.23,1583615.76,,89,15,"Bagmati Nadi , 32000 kW",078/79,1414195.00,,5.09,79179816.23,79179816.23,,,,,,,
4,2078/6,14141952.00,,,15556147.00,0.00,0.00,,,,,,,79180788.23,1583615.76,,89,15,"Bagmati Nadi , 32000 kW",078/79,1414195.00,,5.09,79180788.23,79180788.23,,,,,,,
5,2078/7,13685760.00,,,15426960.00,30.00,324.00,,,,,,,73433226.40,1468664.53,,89,15,"Bagmati Nadi , 32000 kW",078/79,1741200.00,,5.09,73432902.40,73432902.40,,,,,,,
6,2078/8,8743830.00,,,8743830.00,0.00,0.00,,,,,,,44506094.70,890121.89,,89,15,"Bagmati Nadi , 32000 kW",078/79,,,5.09,44506094.70,44506094.70,,,,,,,
7,2078/9,6519479.00,,,7103119.00,0.00,0.00,,,,,,,71149377.42,1422987.55,,89,15,"Bagmati Nadi , 32000 kW",078/79,583640.00,,8.90,71149377.42,71149377.42,,,,,,,
8,2078/10,4767570.00,,,5201876.00,,,,,,,,,56598108.20,1131962.16,,89,15,"Bagmati Nadi , 32000 kW",078/79,434306.00,,8.90,56598108.20,56598108.20,,,,,,,
9,2078/11,3908112.00,,,4270647.00,,,,,,,,,47379136.65,947582.73,,89,15,"Bagmati Nadi , 32000 kW",078/79,362535.00,,8.90,47379136.65,47379136.65,,,,,,,
10,2078/12,3403235.00,,,3726973.00,,,,,,,,,39458652.85,789173.06,,89,15,"Bagmati Nadi , 32000 kW",078/79,323738.00,,8.90,39458652.85,39458652.85,,,,,,,
11,2079/1,5310401.00,,,5794819.00,,,,,,,,,35786783.68,715735.67,,89,15,"Bagmati Nadi , 32000 kW",078/79,484418.00,,5.23,35786783.68,35786783.68,,,,,,,
12,2079/2,13371470.00,,,13371470.00,,,,,,,,,69932788.10,1398655.76,,89,15,"Bagmati Nadi , 32000 kW",078/79,,,5.23,,69932788.10,,,,,,,
13,2079/13,,,,,,,,,,,,,,-56123.42,,89,15,"Bagmati Nadi , 32000 kW",078/79,,,,,,,,Mistakenly double entered in FY 2077/78,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,14902581.59,,89,15,"Bagmati Nadi , 32000 kW",078/79,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,2200000.0,,89,15,"Bagmati Nadi , 32000 kW",078/79,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,18947687.09,,89,15,"Bagmati Nadi , 32000 kW",078/79,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,-56097.05,,89,15,"Bagmati Nadi , 32000 kW",078/79,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2082/5,11984190.10,,,11984190.10,3406.00,36784.80,,,,,,,66152729.35,1323054.59,,89,19,"Bagmati Nadi , 32000 kW",082/83,,,5.52,,66115944.55,,,,,,,
2,2082/5,,,,0.00,,,,,,,,,14296800.00,285936.0,,89,19,"Bagmati Nadi , 32000 kW",082/83,,,,,,,14296800.00,श्रावण महिना शर्ट सप्लाई छुटबिल,,,,
3,2082/6,14141952.00,,,15352371.12,504.00,5443.20,,,,,,,84914547.26,1698290.95,,89,19,"Bagmati Nadi , 32000 kW",082/83,1210419.12,,5.52,,84909104.06,,,,,,,
4,2082/7,13685760.00,,,15054336.00,168.00,1814.40,,,,,,,83291535.36,1665830.71,,89,19,"Bagmati Nadi , 32000 kW",082/83,1368576.00,,5.52,,83289720.96,,,,,,,
5,2082/8,8840800.00,,,9599683.00,204.00,2203.20,,,,,,,61627651.57,1232553.03,,89,19,"Bagmati Nadi , 32000 kW",082/83,758883.00,,5.52,,61625448.37,,,excess energy 3014543.39 kwh@2.83 = Rs. 8531157.79,,,,
6,2082/9,6519479.00,,,7103119.00,1668.00,18014.40,,,,,,,86158888.74,1723177.77,,89,19,"Bagmati Nadi , 32000 kW",082/83,583640.00,,9.66,,86140874.34,,,excess energy 3514514.99 kwh@4.95 = Rs 17396849.20,,,,
7,2082/10,4767540.00,,,5201846.00,4188.00,45230.40,,,,,,,67284157.88,1345683.16,,89,19,"Bagmati Nadi , 32000 kW",082/83,434306.00,,9.66,,67238927.48,,,excess energy 3419284.69@4.95 = Rs. 16925459.22,,,,
8,2082/11,3908112.00,,,4270647.00,5760.00,62208.00,,,,,,,57481957.74,1149639.15,,89,19,"Bagmati Nadi , 32000 kW",082/83,362535.00,,9.66,,57419749.74,,,excess energy 3259974.54 kwh@4.95 = Rs. 16136873.97,,,,
9,2082/12,3403235.00,,,4300848.00,27675.00,298890.00,,,,,,,51177579.81,1023551.6,,89,19,"Bagmati Nadi , 32000 kW",082/83,897613.00,,9.66,,50878689.81,,,"2082 चैत्र 01-26 CE = 2836029.17 kwh@9.66, ACE = 269781.67 kwh@9.91. excess energy 1563195.01 kwh@4.95// 2082 चैत्र 26 - 2083 बैशाख 01 CE = 567205.83 kwh@9.66, ACE = 53956.33 kwh@9.91, ACE I Energy 573875 kwh@8.40, excess energy 603743.06 kwh@4.20",,,,
10,2083/1,5310401.00,,,5794819.00,3969.00,42865.20,,,,,,,57626816.93,1152536.34,,89,19,"Bagmati Nadi , 32000 kW",082/83,484418.00,,5.52,,57583951.73,,,ACE I 4824508 kwh@4.80 and excess energy 975540.18 kwh@2.40,,,,
11,2083/2,12583384.00,,,12583384.00,3354.00,36223.20,,,,,,,69460282.99,1389205.66,,89,19,"Bagmati Nadi , 32000 kW",082/83,,,5.52,,69424059.79,,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,13989458.96,,89,19,"Bagmati Nadi , 32000 kW",082/83,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,0.0,,89,19,"Bagmati Nadi , 32000 kW",082/83,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,13624165.36,,89,19,"Bagmati Nadi , 32000 kW",082/83,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,365293.6,,89,19,"Bagmati Nadi , 32000 kW",082/83,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2081/3,13068810.00,,,13068810.00,,,,,,,,,72139831.20,1442796.62,,89,18,"Bagmati Nadi , 32000 kW",081/82,,,5.52,,72139831.20,,,,,,,
2,2081/4,14598144.00,,,15956940.00,,,,,,,,,88082308.80,1761646.18,,89,18,"Bagmati Nadi , 32000 kW",081/82,1358796.00,,5.52,,88082308.80,,,,,,,
3,2081/5,14141952.00,,,15556147.00,,,,,,,,,85869931.44,1717398.63,,89,18,"Bagmati Nadi , 32000 kW",081/82,1414195.00,,5.52,,85869931.44,,,,,,,
4,2081/6,5357540.00,,,5357540.00,2290.00,24732.00,,,,,,,29573620.80,591472.42,,89,18,"Bagmati Nadi , 32000 kW",081/82,,,5.52,,28576888.80,972000.00,,Rs.972000 = connection agreement अनुसार रकम,,,,
5,2081/7,,,,0.00,,,,,,,,,0.00,0.0,,89,18,"Bagmati Nadi , 32000 kW",081/82,,,,,,,,no generation from kartik,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,5513313.85,,89,18,"Bagmati Nadi , 32000 kW",081/82,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,2200000.0,,89,18,"Bagmati Nadi , 32000 kW",081/82,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,6436127.58,,89,18,"Bagmati Nadi , 32000 kW",081/82,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,2199820.94,,89,18,"Bagmati Nadi , 32000 kW",081/82,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2077/3,14141952.00,,,15556146.81,,,,,,,,,83161223.34,1671864.47,,89,14,"Bagmati Nadi , 32000 kW",077/78,1414194.81,,4.94,76885196.70,83161223.34,432000.00,,,,,,
2,2077/4,14567390.00,,,14567390.00,390.00,4212.00,,,,,,,71962906.60,1439258.13,,89,14,"Bagmati Nadi , 32000 kW",077/78,,,4.94,71958694.60,71958694.60,,,,,,,
3,2077/5,14141952.00,,,15556147.00,,,,,,,,,76847366.18,1536947.32,,89,14,"Bagmati Nadi , 32000 kW",077/78,1414195.00,,4.94,76847366.18,76847366.18,,,,,,,
4,2077/6,13685760.00,,,15054335.81,210.00,2268.00,,,,,,,75338571.14,1506771.42,,89,14,"Bagmati Nadi , 32000 kW",077/78,1368575.81,,4.94,75338571.62,75336303.14,,,,,,,
5,2077/7,10937890.00,,,10937890.00,10.00,108.00,,,,,,,54059437.63,1137312.17,,89,14,"Bagmati Nadi , 32000 kW",077/78,,,4.94,54033068.60,54059329.63,2806170.91,,NEA Memo dated:2077.08.15,,,,
6,2077/8,7924980.00,,,7924980.00,,,,,,,,,39149401.20,782988.02,,89,14,"Bagmati Nadi , 32000 kW",077/78,,,4.94,39149401.20,39149401.20,,,,,,,
7,2077/9,5814210.00,,,5814210.00,,,,,,,,,50292916.50,1005858.33,,89,14,"Bagmati Nadi , 32000 kW",077/78,,,8.65,50292916.50,50292916.50,,,,,,,
8,2077/10,4931968.97,,,5381251.00,,,,,,,,,46547821.15,930956.42,,89,14,"Bagmati Nadi , 32000 kW",077/78,449282.03,,8.65,46547821.15,46547821.15,,,,,,,
9,2077/11,3777841.60,,,4128292.10,0.00,324.00,,,,,,,40111365.59,802227.31,,89,14,"Bagmati Nadi , 32000 kW",077/78,350450.50,,8.65,40116135.65,40111041.59,,,,,,,
10,2077/12,3516676.17,,,3851205.44,,,,,,,,,38338662.53,766773.25,,89,14,"Bagmati Nadi , 32000 kW",077/78,334529.27,,8.65,38344481.81,38338662.53,,,,,,,
11,2077/13,,,,,,,,,,,,,,333160.99,,89,14,"Bagmati Nadi , 32000 kW",077/78,,,,,,,,"Amount paid by NEA in 2077 Jestha Rs. 4,55,27,040, but in previous FY energy sheet Rs. 2,88,68,990.40 so excess royalty chargable amount is Rs. 1,66,58,049.60 and 2% Royalty is Rs. 3,33,160.992",,,,
12,2077/13,,,,,,,,,,,,,,56123.42,,89,14,"Bagmati Nadi , 32000 kW",077/78,,,,,,,,"NEA has adjusted the amount Rs. 28,06,170.91 for FY 2076/77 Month Asad of 2076 as generation loss and pay to promotor so 2% royalty amount is Rs. 56,123.42",,,,
13,2078/1,5310401.00,,,7400000.00,20.00,216.00,,,,,,,33572788.45,671455.77,,89,14,"Bagmati Nadi , 32000 kW",077/78,2089599.00,,5.09,33580598.36,33572572.45,,,,,,,
14,2078/2,10427040.00,,,10427040.00,0.00,0.00,,,,,,,53073633.60,1061472.67,,89,14,"Bagmati Nadi , 32000 kW",077/78,,,5.09,53073633.60,53073633.60,,,,,,,
15,2078/13,,,,,,,,,,,,,,379933.23,,89,14,"Bagmati Nadi , 32000 kW",077/78,,,,,,,,"NEA paid on Chaitra 2076 Rs. 3,15,19,290.60 but previous FY energy sheet Rs. 12,498,977.28 so excess royalty chargable amount is Rs. 18,996,661.32 and 2% royalty is Rs. 379,933.23",,,,
16,2078/13,,,,,,,,,,,,,,15512.51,,89,14,"Bagmati Nadi , 32000 kW",077/78,,,,,,,,"NEA paid on Baisakh 2077 Rs. 28,590,756.6 but previous FY energy sheet Rs. 27,815,131.2 so excess royalty chargable amount is Rs. 775,625.40 and 2% royalty is Rs. 15,512.51",,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,14098615.43,,89,14,"Bagmati Nadi , 32000 kW",077/78,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,2200000.0,,89,14,"Bagmati Nadi , 32000 kW",077/78,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,14691498.0,,89,14,"Bagmati Nadi , 32000 kW",077/78,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,1789008.45,,89,14,"Bagmati Nadi , 32000 kW",077/78,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2075/10,1490789.20,,0.00,1490789.20,2190.00,23652.00,,,,,,,12522629.28,250452.59,,89,11,"Bagmati Nadi , 32000 kW",075/76,0.00,0.00,8.40,0.00,12066977.28,432000.00,,,,,,
2,2075/11,5794819.00,,0.00,5794819.00,370.00,3996.00,,,,,,,27815131.00,556302.62,,89,11,"Bagmati Nadi , 32000 kW",075/76,0.00,0.00,4.80,0.00,27811135.20,0.00,,,,,,
3,2075/12,6630470.00,,0.00,6630470.00,1210.00,13068.00,,,,,,,28868990.00,577379.8,,89,11,"Bagmati Nadi , 32000 kW",075/76,0.00,0.00,4.80,0.00,28855922.40,0.00,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,1384135.01,,89,11,"Bagmati Nadi , 32000 kW",075/76,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,2200000.0,,89,11,"Bagmati Nadi , 32000 kW",075/76,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,2200000.0,,89,11,"Bagmati Nadi , 32000 kW",075/76,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,1384135.01,,89,11,"Bagmati Nadi , 32000 kW",075/76,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2076/3,4675570.00,,0.00,4675570.00,13370.00,144396.00,,,,,,,9262701.31,185254.03,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,,22442736.00,9118305.31,,13180034.69,,,,,
2,2076/4,1323260.00,,0.00,1323260.00,28460.00,307368.00,,,,,,,13491016.55,269820.33,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,,6351648.00,13183648.55,,,,,,,
3,2076/5,13692020.00,,0.00,13692020.00,4750.00,51300.00,,,,,,,65721696.00,1314433.92,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,,65721696.00,65670396.00,,,,,,,
4,2076/6,12980230.00,,0.00,12980230.00,2010.00,21708.00,,,,,,,62305104.00,1246102.08,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,,62305104.00,62283396.00,,,,,,,
5,2076/7,9329050.00,,0.00,9329050.00,380.00,4104.00,,,,,,,42557280.00,851145.6,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,,44779440.00,42553176.00,,2222160.00,,,,,
6,2076/8,8312990.00,,0.00,8312990.00,60.00,648.00,,,,,,,39902348.00,798046.96,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,,39902352.00,39901700.00,,,,,,,
7,2076/9,6194400.00,,0.00,6194400.00,3840.00,41472.00,,,,,,,52032960.00,1040659.2,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,8.40,52032960.00,51991488.00,,,,,,,
8,2076/10,6248610.00,,0.00,6248610.00,360.00,3888.00,,,,,,,48092041.20,961840.82,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,8.40,48092041.20,48088153.20,,,,,,,
9,2076/11,5879930.00,,0.00,5879930.00,70.00,756.00,,,,,,,35873434.80,717468.7,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,8.40,42632423.40,35872678.80,,,,,,,
10,2076/12,3777620.00,,0.00,3777620.00,2190.00,23652.00,,,,,,,12522629.28,250452.59,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,8.40,32457364.73,12498977.28,,,,,,,
11,2077/1,6414400.00,,0.00,6414400.00,370.00,3996.00,,,,,,,27815131.20,556302.62,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,4.94,29298129.60,27811135.20,,,,,,,
12,2077/2,6630470.00,,0.00,6630470.00,1210.00,13068.00,,,,,,,28868990.40,577379.81,,89,12,"Bagmati Nadi , 32000 kW",076/77,0.00,0.00,4.94,30886202.40,28855922.40,2957265.60,,,,,,
Energy Royalty,Energy Royalty,Energy Royalty,,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,,,Energy Royalty,8768906.66,,89,12,"Bagmati Nadi , 32000 kW",076/77,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,Energy Royalty,,,,,
Capacity Royalty,Capacity Royalty,Capacity Royalty,,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,,,Capacity Royalty,2200000.0,,89,12,"Bagmati Nadi , 32000 kW",076/77,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,Capacity Royalty,,,,,
Received,Received,Received,,Received,Received,Received,Received,,,,,,,Received,12171151.0,,89,12,"Bagmati Nadi , 32000 kW",076/77,Received,Received,Received,Received,Received,Received,Received,,,,,
Balance,Balance,Balance,,Balance,Balance,Balance,Balance,,,,,,,Balance,181890.68,,89,12,"Bagmati Nadi , 32000 kW",076/77,Balance,Balance,Balance,Balance,Balance,Balance,Balance,,,,,
1,2080/3,648675.00,,,1571260.00,1120.00,12096.00,,,,,,,7216564.30,144331.29,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,922585.00,,3.90,,7204468.30,,,,,,,
2,2080/4,691200.00,,,2236460.00,590.00,6372.00,,,,,,,10545600.80,210912.02,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,1545260.00,,3.90,,10539228.80,,,,,,,
3,2080/5,438967.74,,,1287600.00,840.00,9072.00,,,,,,,6023026.06,120460.52,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,848632.26,,3.90,,6013954.06,,,,,,,
4,2080/6,647419.35,,,1295960.00,470.00,5076.00,,,,,,,5819521.96,116390.44,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,648540.65,,3.90,,5814445.96,,,,,,,
5,2080/7,648000.00,,,1655265.13,30.00,324.00,,,,,,,7644106.86,152882.14,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,1007265.13,,3.90,,7643782.86,,,,,,,
6,2080/8,692068.97,,,759124.71,,,,,,,,,3039712.13,60794.24,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,67055.74,,3.90,,3039712.13,,,,,,,
7,2080/9,468665.79,,,468665.79,480.00,5184.00,,,,,,,2587035.15,51740.7,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,,,5.52,,2581851.15,,,,,,,
8,2080/10,411860.00,,,411860.00,10.00,108.00,,,,,,,2273467.20,45469.34,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,,,5.52,,2273359.20,,,,,,,
9,2080/11,332680.00,,,332680.00,10.00,108.00,,,,,,,1836393.60,36727.87,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,,,5.52,,1836285.60,,,,,,,
10,2080/12,214920.00,,,214920.00,760.00,8208.00,,,,,,,1186358.40,23727.17,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,,,5.52,,1178150.40,,,,,,,
11,2081/1,166620.00,,,166620.00,350.00,3780.00,,,,,,,649818.00,12996.36,,86,17,"Baramchi Khola HPP , 4200 kW",080/81,,,3.90,,646038.00,,,,,,,
